query,avg_monthly_searches,competition,competition_index,demand_class,suggested_owner,funnel,source_period
esim gratuita,500,Alta,100,purchase-guide,/esim-gratis,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim giga illimitati,500,Alta,99,data-plan,/esim-giga-illimitati,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim dubai,500,Alta,100,destination,/esim-dubai-emirati,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
holafly dubai,500,Alta,99,destination,/esim-dubai-emirati,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
recensioni holafly,500,Alta,92,provider-review,/holafly-recensioni,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
holafly esim recensioni,500,Alta,98,provider-review,/holafly-recensioni,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
airalo esim recensioni,500,Alta,100,provider-review,/airalo-recensioni,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
airalo albania,500,Alta,100,destination,/esim-albania,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
airalo telefoni compatibili,500,Media,64,provider-support,,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim online,500,Alta,100,purchase-guide,/esim-online,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim costi,500,Alta,100,purchase-guide,/esim-costi,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim viaggio,500,Alta,99,travel-commercial,/,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim gratis,50,Alta,100,purchase-guide,/esim-gratis,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim usa prepagata,50,Alta,86,destination,/esim-usa,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim usa iphone,50,Alta,88,destination,/esim-usa,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim internet usa,50,Alta,96,destination,/esim-usa,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
sim virtuale usa,50,Alta,90,destination,/esim-usa,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim usa holafly,50,Alta,98,destination,/esim-usa,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim t mobile usa,50,Alta,86,destination,/esim-usa,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
whatsapp con esim,50,Bassa,18,data-plan-support,/esim-solo-dati,TOFU/MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
whatsapp esim,50,Alta,88,data-plan-support,/esim-solo-dati,TOFU/MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim whatsapp,50,Alta,100,data-plan-support,/esim-solo-dati,TOFU/MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
trustpilot airalo,50,Media,35,provider-review,/airalo-recensioni,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
airalo trustpilot,50,Media,41,provider-review,/airalo-recensioni,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
airalo funziona,50,Alta,81,provider-explainer,/airalo-come-funziona,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim ubigi,50,Alta,100,provider,/ubigi-recensioni,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
