field_key,provider,page_need,required_scope,coverage_status,evidence_source_key,registry_state,recommended_freshness_days,comparison_ready,blocking_reason,next_action
"unlimited_policy","airalo","migliore-esim;destination;comparison","exact_plan+policy","source_identified","candidate-airalo-italy-unlimited-10d;candidate-airalo-unlimited-fup","candidate_new",7,false,"No canonical snapshot and FUP must travel with unlimited label.","Capture product label and linked policy together."
"unlimited_policy","holafly","migliore-esim;destination;comparison","exact_plan+policy","source_identified","candidate-holafly-italy-product;candidate-holafly-unlimited-faq","candidate_new",7,false,"Unlimited label exists but exact FUP threshold is not established by the Italy page alone.","Capture product plus Technical Specs/FUP context."
"unlimited_policy","ubigi","migliore-esim;destination;comparison","exact_plan+policy","source_identified","candidate-ubigi-italy-50gb-30d","covered_by_registered_commerce_source",7,false,"Captured plan is finite 50GB; unlimited field was not separately extracted.","Emit finite/unlimited semantics only from explicit product structure in a future extractor."
"fair_use_policy","airalo","migliore-esim;comparison","exact_unlimited_plan+effective_policy","source_identified","candidate-airalo-italy-unlimited-10d;candidate-airalo-unlimited-fup","candidate_new",7,false,"Policy and package-specific threshold must be joined by scope and date.","Snapshot both product additional info and FUP with shared plan scope."
"fair_use_policy","holafly","migliore-esim;comparison","exact_plan+technical_specs","partial_scope","candidate-holafly-unlimited-faq;candidate-holafly-italy-product","candidate_new",7,false,"Generic FAQ says FUP may reduce speed but exact Italy threshold is not proven in current evidence.","Locate and capture Italy Technical Specs/FUP threshold before numeric claim."
"fair_use_policy","ubigi","migliore-esim;comparison","exact_plan+policy","partial_scope","candidate-ubigi-italy-50gb-30d","covered_by_registered_commerce_source",7,false,"Fixed-data plan does not prove absence of other service restrictions and no same-scope FUP source is registered.","Treat as not required for finite allowance unless a comparison claim needs restrictions."
"validity_days","airalo","migliore-esim;esim-estero;destination","exact_package","source_identified","candidate-airalo-italy-catalog;provider-airalo-validity","mixed",7,false,"Package duration visible, but activation trigger remains package-specific.","Capture exact package duration and keep activation_policy separate."
"validity_days","holafly","migliore-esim;esim-estero;destination","exact_selected_duration","source_identified","candidate-holafly-italy-product","candidate_new",7,false,"Duration is user-selected and price depends on selection; no canonical snapshot yet.","Snapshot one explicit duration state with corresponding price."
"validity_days","ubigi","migliore-esim;esim-estero;destination","exact_plan","verified_snapshot","candidate-ubigi-italy-50gb-30d","covered_by_registered_commerce_source",7,true,"Verified only for 30-day captured plan.","Keep activation trigger separate."
"activation_policy","airalo","migliore-esim;esim-estero;guide","exact_package","partial_scope","provider-airalo-validity;candidate-airalo-italy-unlimited-10d","mixed",7,false,"Official help explicitly says activation can differ and instructs checking package Validity Policy.","Capture exact package Validity/Activation Policy rather than inherit provider default."
"activation_policy","holafly","migliore-esim;esim-estero;guide","exact_destination_plan","source_identified","candidate-holafly-italy-product","candidate_new",7,false,"Italy page states plan starts on arrival when eSIM is turned on; not yet canonical snapshot.","Capture exact product statement and duration state."
"activation_policy","ubigi","migliore-esim;esim-estero;guide","exact_plan+covered_area","source_identified","candidate-ubigi-italy-50gb-30d;candidate-ubigi-activation","mixed",7,false,"PR #104 deliberately did not extract activation from H1; SmartStart source exists separately.","Add a field-specific activation locator only in a later evidence-pack spike."
"hotspot_policy","airalo","migliore-esim;esim-estero;comparison","exact_plan+applicable_policy","source_identified","provider-airalo-hotspot;candidate-airalo-unlimited-fup","mixed",7,false,"Generic help depends on device/network; unlimited FUP applies to unlimited packages but no canonical package snapshot join exists.","Capture exact plan plus applicable hotspot/FUP policy."
"hotspot_policy","holafly","migliore-esim;esim-estero;comparison","exact_destination_plan","source_identified","candidate-holafly-italy-product;provider-holafly-hotspot","mixed",7,false,"Exact Italy allowance is visible but not snapshot-canonicalized.","Capture technical specs/visible share statement with plan scope."
"hotspot_policy","ubigi","migliore-esim;esim-estero;comparison","exact_plan","source_identified","candidate-ubigi-italy-50gb-30d;provider-ubigi-hotspot","mixed",7,false,"Exact product says data sharing allowed, but PR #104 did not extract it.","Add exact-plan hotspot locator in later evidence pack."
"hotspot_share_limit","airalo","migliore-esim;comparison","exact_plan+period","source_identified","candidate-airalo-unlimited-fup","candidate_new",7,false,"No canonical field exists; unlimited policy says no tethering limit but high-speed FUP still applies to total use.","Model share cap separately from overall high-speed/FUP threshold."
"hotspot_share_limit","holafly","migliore-esim;comparison","exact_plan+period","source_identified","candidate-holafly-italy-product","candidate_new",7,false,"Italy page states 1 GB/day share allowance; no canonical field exists and no snapshot yet.","Preserve amount=1 GB and period=day as structured candidate."
"hotspot_share_limit","ubigi","migliore-esim;comparison","exact_plan+period","partial_scope","candidate-ubigi-italy-50gb-30d;provider-ubigi-hotspot","mixed",7,false,"Sources prove sharing is allowed but do not establish an exact cap or explicit absence of a cap.","Do not infer unlimited sharing; leave exact limit unknown."
"network","airalo","migliore-esim;destination;comparison","exact_plan+destination","partial_scope","candidate-airalo-italy-catalog;candidate-airalo-italy-unlimited-10d","candidate_new",7,false,"Public UI shows primary Wind Tre and '+2 others'; full list needs exact rendered capture.","Capture expanded network list and package scope."
"network","holafly","migliore-esim;destination;comparison","exact_plan+destination","source_identified","candidate-holafly-italy-product","candidate_new",7,false,"Italy page names Vodafone Italy and WINDTRE; no canonical snapshot yet.","Capture exact network statement."
"network","ubigi","migliore-esim;destination;comparison","exact_plan+destination","source_identified","candidate-ubigi-italy-50gb-30d","covered_by_registered_commerce_source",7,false,"Product page names Iliad and WindTre but network was not part of PR #104 extraction.","Add network locator in later evidence pack."
"radio_technology","airalo","migliore-esim;destination","exact_plan+destination","partial_scope","candidate-airalo-italy-catalog","candidate_new",7,false,"Current text evidence does not fully resolve exact 4G/5G package capability and technology is not performance.","Capture explicit technology statement only; never convert to speed claim."
"radio_technology","holafly","migliore-esim;destination","exact_plan+destination","source_identified","candidate-holafly-italy-product","candidate_new",7,false,"Italy page states 4G LTE and 5G where available; no canonical field exists.","Preserve as attributed technology statement separate from observed performance."
"radio_technology","ubigi","migliore-esim;destination","exact_plan+destination","source_identified","candidate-ubigi-italy-50gb-30d","covered_by_registered_commerce_source",7,false,"Product page exposes 3G/4G/5G indicators; browser/DOM evidence locator still needed.","Capture rendered technology indicators with exact plan scope."
"refund_policy","airalo","comparison;trust","provider+product_type+scenario+effective_date","source_identified","provider-airalo-terms","registered",30,false,"Terms are authoritative but scenario-specific and should be paired with current refund/help policy if used comparatively.","Snapshot exact terms/policy and preserve effective date."
"refund_policy","holafly","comparison;trust","provider+product_type+scenario+effective_date","conflict_scope_required","provider-holafly-refund;provider-holafly-terms-prepaid","registered",14,false,"Registry already warns FAQ/formal policy may diverge; current localized wording can vary by channel/scenario.","Keep terms and refund policy as separate evidence; conflict must block simplified boolean comparison."
"refund_policy","ubigi","comparison;trust","provider+product_type+scenario+effective_date","conflict_scope_required","provider-ubigi-terms","registered",30,false,"Current terms and help wording differ around QR scan/use, carrier lock and incompatibility scenarios.","Capture terms plus help with effective date; resolve by product/scenario rather than choosing favorable wording."
"device_compatibility","airalo","guide;prepurchase","exact_model+hardware_region+provider_requirement","partial_scope","manufacturer-apple-esim;manufacturer-google-pixel;manufacturer-samsung-galaxy","registered",30,false,"Manufacturer can prove hardware capability, but provider commercial requirements and exact model/region still need joining.","Build compatibility evidence from manufacturer first; provider list is secondary confirmation."
"device_compatibility","holafly","guide;prepurchase","exact_model+hardware_region+provider_requirement","partial_scope","manufacturer-apple-esim;manufacturer-google-pixel;manufacturer-samsung-galaxy","registered",30,false,"Same model name can vary by market; no provider-wide boolean is safe.","Require model code/market plus provider requirement."
"device_compatibility","ubigi","guide;prepurchase","exact_model+hardware_region+provider_requirement","partial_scope","manufacturer-apple-esim;manufacturer-google-pixel;manufacturer-samsung-galaxy;candidate-ubigi-italy-50gb-30d","mixed",30,false,"Ubigi lists devices but itself directs users to manufacturer specs; regional variants remain material.","Manufacturer remains primary source; use provider list only as commercial compatibility confirmation."
"carrier_lock_state","airalo","guide;prepurchase","single_user_device","user_state_only","","n/a",0,false,"Lock state belongs to the user's actual device/account and cannot be inferred from model.","Expose a check instruction, never a provider/model fact."
"carrier_lock_state","holafly","guide;prepurchase","single_user_device","user_state_only","","n/a",0,false,"Lock state belongs to the user's actual device/account and cannot be inferred from model.","Expose a check instruction, never a provider/model fact."
"carrier_lock_state","ubigi","guide;prepurchase","single_user_device","user_state_only","","n/a",0,false,"Lock state belongs to the user's actual device/account and cannot be inferred from model.","Expose a check instruction, never a provider/model fact."
"voice_sms_included","airalo","esim-estero;comparison","exact_plan","partial_scope","candidate-airalo-italy-catalog;provider-airalo-validity","mixed",7,false,"Airalo states some packages include calls/texts but current Italy package row must prove inclusions explicitly.","Capture exact package inclusions; absence of text is not proof of data-only."
"voice_sms_included","holafly","esim-estero;comparison","exact_plan","partial_scope","candidate-holafly-italy-product","candidate_new",7,false,"Italy surface is data-focused but current evidence does not explicitly prove voice/SMS absence.","Require explicit product inclusions/exclusions before boolean."
"voice_sms_included","ubigi","esim-estero;comparison","exact_plan","source_identified","candidate-ubigi-italy-50gb-30d","covered_by_registered_commerce_source",7,false,"Product is explicitly described as a one-time eSIM data plan, but field has no canonical schema and was not snapshot-extracted.","Preserve service type as structured candidate before any comparison."
"observed_performance","airalo","migliore-esim;destination","plan+place+time+device+network+test_method","unsupported_method","","n/a",0,false,"Provider network/technology statements do not prove real speed or latency.","Do not publish performance winner until first-party/independent protocol exists."
"observed_performance","holafly","migliore-esim;destination","plan+place+time+device+network+test_method","unsupported_method","","n/a",0,false,"Marketing statements such as fast/reliable are not independent performance evidence.","Do not convert provider wording into measured performance."
"observed_performance","ubigi","migliore-esim;destination","plan+place+time+device+network+test_method","unsupported_method","","n/a",0,false,"Awards/comparison marketing on product page is excluded from factual performance truth layer.","Require versioned first-party or adequate independent dataset."
"routing_ip_behavior","airalo","destination-china;advanced-guide","plan+destination+network+timestamp","unsupported_method","","n/a",0,false,"Provider statements can be attributed but do not prove runtime access/VPN behavior for every session.","Keep provider statements attributed; first-party in-destination test required for own claim."
"routing_ip_behavior","holafly","destination-china;advanced-guide","plan+destination+network+timestamp","unsupported_method","","n/a",0,false,"No verified first-party protocol in repository.","Do not publish unqualified VPN/routing promise."
"routing_ip_behavior","ubigi","destination-china;advanced-guide","plan+destination+network+timestamp","unsupported_method","","n/a",0,false,"Ubigi has IP-location statements but they are provider claims, not independent runtime verification.","Separate attributed feature statement from observed access claim."
